Java, Stream, TornadoVM
12080060,56779475,157084117
8903011,1609848,2353551
3279321,1707482,2743702
10349514,1743449,1997198
10233169,1745264,1648551
5120689,1517732,2298096
682849,1583489,2363961
605796,1542957,2560959
676848,1245607,2279504
606067,1185749,2252904
673668,1197441,2029004
606142,1128295,1577128
675498,1137056,1889510
604763,1081969,1858689
679856,1070338,1785203
603762,1070766,1390115
345379,746905,2098738
340292,731895,1864342
340204,530239,1564608
343435,522908,1268825
340658,554076,1350742
340633,508061,1068185
346710,488797,1952739
344788,653508,2314462
344797,473247,1243628
343466,687549,1098276
342610,497175,1902337
347826,541139,1739882
340628,661559,1368617
340649,687073,1514505
344318,646046,1413527
340178,489752,2148958
340170,464655,2566675
342723,506701,2657013
340203,484613,1631848
340189,391917,1309690
342383,444127,2154405
340228,520613,2634538
340178,611588,1764948
342815,580683,1510630
341551,420606,847814
341573,469193,1802171
343310,438397,1230758
340168,582491,2260679
340162,484028,1289005
343567,498718,689240
342079,223650,713566
342079,199351,684124
344275,218124,683348
342200,96770,1806554
342098,97015,1155120
343394,219847,754771
340170,90551,603915
340186,97161,543289
342548,91798,630554
366330,80703,848461
396655,85974,652351
344928,208396,986933
344910,87017,555885
347805,78946,588908
341165,83288,496944
341237,191984,524718
344792,82881,497440
341167,101962,989044
341212,86408,1201743
345400,91303,533153
341193,169171,567367
341136,86413,461102
344508,90797,359884
340823,81878,388991
340822,83492,454478
344089,87259,406210
340195,84298,428826
340262,85189,386677
345923,145362,367936
344409,90043,437237
345692,182713,344733
346780,87914,386720
341481,82795,394282
342166,101081,412586
344483,94844,393080
341148,89362,368339
341220,94619,458664
348898,98476,565627
344901,97095,549630
344895,92757,445048
343141,188916,432758
340174,202358,436723
348732,207648,1021289
341158,97319,647607
341136,120277,953322
343666,88961,374581
341922,96305,371922
341932,102721,387853
344609,97179,389913
344693,212388,350836
344683,96622,404187
347263,123824,394548
344939,93376,357476
344887,113886,392462
345479,112659,374790
