Java, Stream, TornadoVM
62682835,195621572,81703284
34651474,12224285,960145
43207268,9864674,675103
20523252,8220237,558642
20184286,5892616,509628
20043673,6058122,520020
19649651,4526712,785818
19653988,2310088,603719
19491312,2384921,619477
19678041,2297996,546224
20027706,2549679,533598
20007980,2604441,505558
19527468,2455746,477521
19464095,2488057,440478
19502231,2602322,484558
19480293,2449887,497991
19614463,2526037,598930
19769903,2530406,509148
20101772,2734898,432719
19695124,2682771,440403
19556359,2708099,421313
19740957,2925924,463668
19682668,2867907,449443
20041573,2469199,429697
19845623,4125543,400404
20499294,2831304,422134
19702006,2846766,561245
19494844,2831874,480376
19741117,2591899,462021
19783830,2505632,426654
19611707,2336531,409707
19530351,2271622,473736
19460889,2351927,411689
19503961,2453263,399950
20008993,2304469,439594
20353306,2257916,431972
19581002,2379076,398116
19903902,2227221,396377
19602328,2221027,403956
19444822,2221654,371617
20338034,2216227,415061
20014409,2281126,406507
19639062,2233575,444528
19474471,2396874,451833
19829748,2503797,412559
19492256,2660906,359959
19768903,2687388,372048
20110956,2625328,390472
19974311,2448809,376390
19939910,2285159,440593
20116576,2234014,389870
20231240,2459356,388821
19673114,2263180,370292
19919650,2300383,383118
20909406,2358886,368344
20371627,2511806,355965
20087211,2334965,400264
21352727,2460169,353921
21896805,2582883,349835
20011757,2574305,361372
19730884,2526324,348211
20301737,3774514,356500
20447692,2282654,403538
19832811,2221009,431940
19484698,2221399,470734
19849317,2634756,383742
19997045,2408666,358450
19880935,2314542,385404
20249978,2226381,403023
20643234,2253558,356268
19705779,2247333,355070
19580868,2277315,391248
20352442,2258887,363150
20220967,2341897,387504
19745742,2281533,351127
19826393,2266925,329330
19581045,2344947,323216
19492504,2255806,330426
19529942,2234440,321379
20099571,2260250,321504
20495452,2292868,322252
19986827,2473905,332068
20081879,2318924,348870
20647676,2228402,440150
20085875,2247237,402272
20228075,2237086,426590
20643104,2273141,348808
20754391,2265489,352013
19896863,2214147,372072
19708994,2219980,321159
19697590,2217036,323090
19981930,2209200,309284
19535744,2209882,316469
19534703,2246916,306403
20141260,2294636,315287
19890610,2227722,390530
20004434,2332851,361224
20284335,2426573,300670
19575086,3225962,316805
20312500,2233856,318658
20140091,2322484,308618
